,dist
199,164.0849637786372
200,100.41039553162055
201,100.69732778096176
202,105.72831429875149
203,103.16655315011339
204,106.37961479742486
205,160.53594565475942
206,118.70291789407702
207,121.56642242279376
208,103.83447763653605
209,104.60000531132212
210,105.22217425786334
211,103.84791486695543
212,104.0377574623281
213,100.91463895565401
214,164.0849637786372
215,100.41039553162055
216,100.69732778096176
217,105.72831429875149
218,103.16655315011339
219,106.37961479742486
220,106.37961479742486
221,103.16655315011339
222,105.72831429875149
223,100.69732778096176
224,100.41039553162055
225,164.0849637786372
226,100.91463895565401
227,104.0377574623281
228,103.84791486695543
229,105.22217425786334
230,104.60000531132212
231,103.83447763653605
232,121.56642242279376
233,118.70291789407702
234,160.53594565475942
235,108.82501754857212
236,158.84163803998499
237,158.84163803998499
238,158.84163803998499
239,158.84163803998499
240,158.84163803998499
241,158.84163803998499
242,158.84163803998499
243,158.84163803998499
244,176.08290079200557
245,176.08290079200557
246,106.23561654276685
247,1071.022913118126
248,158.84163803998499
249,114.0402961919266
250,108.82501754857212
251,155.43770942445406
252,155.43770942445406
253,155.43770942445406
254,1050.9972139977272
255,156.1960227741528
256,155.73299403814647
257,114.32042903109199
258,114.32042903109199
259,114.32042903109199
260,114.32042903109199
261,155.73299403814647
262,104.16967402979807
263,104.16967402979807
264,156.1960227741528
265,158.84163803998499
266,156.1960227741528
267,108.82501754857212
268,108.82501754857212
269,108.82501754857212
270,108.82501754857212
271,160.53594565475942
272,160.53594565475942
273,108.82501754857212
274,158.84163803998499
275,190.78826089091115
276,160.53594565475942
277,108.82501754857212
278,108.82501754857212
279,108.82501754857212
280,108.82501754857212
281,108.82501754857212
282,158.84163803998499
283,103.83447763653605
284,104.60000531132212
285,105.22217425786334
286,103.84791486695543
287,104.0377574623281
288,100.91463895565401
289,164.0849637786372
290,100.41039553162055
291,100.69732778096176
292,105.72831429875149
293,103.16655315011339
294,106.37961479742486
295,106.37961479742486
296,103.16655315011339
297,105.72831429875149
298,100.69732778096176
299,100.41039553162055
300,164.0849637786372
301,100.91463895565401
302,104.0377574623281
303,103.84791486695543
304,105.22217425786334
305,104.60000531132212
306,103.83447763653605
307,158.84163803998499
308,108.82501754857212
309,108.82501754857212
310,108.82501754857212
311,108.82501754857212
312,108.82501754857212
313,108.82501754857212
314,108.82501754857212
315,108.82501754857212
316,108.82501754857212
317,108.82501754857212
318,108.82501754857212
319,108.82501754857212
320,108.82501754857212
321,108.82501754857212
322,108.82501754857212
323,108.82501754857212
324,108.82501754857212
325,108.82501754857212
326,108.82501754857212
327,108.82501754857212
328,108.82501754857212
329,108.82501754857212
330,108.82501754857212
331,108.82501754857212
332,108.82501754857212
333,108.82501754857212
334,108.82501754857212
335,108.82501754857212
336,108.82501754857212
337,108.82501754857212
338,108.82501754857212
339,108.82501754857212
340,108.82501754857212
341,108.82501754857212
342,108.82501754857212
343,160.53594565475942
344,101.53799512456573
345,100.00072910844449
346,100.00072910844449
347,101.53799512456573
348,118.70291789407702
349,753.2835044135971
350,101.14064838405604
351,102.39042750398455
352,102.48669333680166
353,190.12290974349648
354,117.83190580373655
355,115.39738106018439
356,115.39738106018439
357,114.32042903109199
358,155.73299403814647
359,104.16967402979807
360,118.70291789407702
361,160.53594565475942
362,108.82501754857212
363,108.82501754857212
364,108.82501754857212
365,108.82501754857212
366,108.82501754857212
367,108.82501754857212
368,176.08290079200557
369,108.82501754857212
370,176.08290079200557
371,176.08290079200557
372,158.84163803998499
373,103.83447763653605
374,104.60000531132212
375,105.22217425786334
376,103.84791486695543
377,104.0377574623281
378,100.91463895565401
379,164.0849637786372
380,100.41039553162055
381,100.69732778096176
382,105.72831429875149
383,103.16655315011339
384,106.37961479742486
385,106.37961479742486
386,103.16655315011339
387,105.72831429875149
388,100.69732778096176
389,100.41039553162055
390,164.0849637786372
391,100.91463895565401
392,104.0377574623281
393,103.84791486695543
394,105.22217425786334
395,104.60000531132212
396,103.83447763653605
397,158.84163803998499
398,108.82501754857212
399,108.82501754857212
400,108.82501754857212
401,108.08747598197203
402,108.9253764943789
403,134.75199797436878
404,102.02575888576726
405,102.04162873775994
406,191.0408462553264
407,164.0849637786372
408,100.91463895565401
409,104.0377574623281
410,103.84791486695543
411,105.22217425786334
412,104.60000531132212
413,103.83447763653605
414,158.84163803998499
415,108.82501754857212
416,108.82501754857212
417,176.08290079200557
418,101.53799512456573
419,101.53799512456573
420,101.53799512456573
421,104.45940285317516
422,106.29775810329197
423,101.7914419017911
424,103.56397078345778
425,100.6665662251319
426,107.29257031338972
427,100.44189387122071
428,106.89442787684403
429,101.56094612485566
430,101.56094612485566
431,101.56094612485566
432,104.08854008858783
433,102.27347413241269
434,101.0528807660338
435,101.95096163243477
436,103.40965890841416
437,102.28874902829908
438,106.05371490163147
439,104.67903217828406
440,103.33074426866682
441,161.46941437239988
442,101.7459461381779
443,100.8168989362206
444,100.1547921968615
445,102.50892492310508
446,106.3013830786892
447,102.96763094401071
448,102.62103098290412
449,129.19448509042377
450,100.6665662251319
451,103.56397078345778
452,101.7914419017911
453,106.29775810329197
454,104.45940285317516
455,101.53799512456573
456,176.08290079200557
457,108.82501754857212
458,108.82501754857212
459,162.86866215177622
460,136.65531806538797
461,108.82501754857212
462,176.08290079200557
463,176.08290079200557
464,108.82501754857212
465,108.82501754857212
466,158.84163803998499
467,103.83447763653605
468,104.60000531132212
469,105.22217425786334
470,103.84791486695543
471,104.0377574623281
472,100.91463895565401
473,164.0849637786372
474,100.41039553162055
